city,lat,long
Jamshedpur,22.81321,86.16884
Bangalore,12.94999,77.66821
Domlur,12.96171,77.63914
Dehradun,30.32295,78.03168
Noida,28.49615,77.53601
Pithampur,22.60197,75.69649
Vapi,20.37175,72.90493
Baddi,30.95783,76.79136
Parwanoo,30.83716,76.96143
Singrauli,24.19973,82.67535
Kochi,9.9653,76.24117
Naharlagun,27.10467,93.69518
Trichy,10.80289,78.69875
Madras,12.991,80.23295
Ramagundam,18.755,79.474
Warangal,17.89286,79.54842
Thoothukudi,8.76735,78.13425
Khajuraho,24.89453,79.69963
Ahmedabad,23.00401,72.40025
Panjim,15.4833,73.8333
Trivendrum,8.50183,76.95082
Chittorgarh,24.56264,73.6994
Visakhapatnam,17.71089,83.31666
Kothur,19.22289,79.75801
Amlai,27.24632,88.45575
Dharamshala,27.15979,77.76877
Ananthapuram,16.17747,77.86911
Bombay,27.37915,79.57617
Anpara,24.19409,82.79175
Damtal,32.22664,75.66323
Dawki,21.09802,80.38719
Daranga,22.37571,82.90005
Eluru,17.2629,82.1612
Calcutta,15.51403,80.03594
Kadapa,9.04247,76.58427
Tuticorin,8.80611,78.15536
Barrackpore,22.68724,88.44476
Bhubaneswar,20.26539,85.84259
Rourkela,22.22844,84.86313
Sangareddy,17.62893,78.08468
Khliehriat,25.35776,92.36643
Ananthapur,14.6819,77.595406
Sivasagar,26.9826,94.6425
Silcher,24.8333,92.7789
Bhilai Nagar,21.1938,81.3509
Daman Diu & Nagar,20.397373,72.83516
Assanora,28.63243,77.21879
Bicholim,15.5875,73.950302
Codli,15.357,74.1357
Honda,15.50462,74.05235
Kundaim,15.47589,73.948448
Mapusa,15.600227,73.8125
Margao,15.28051,73.996559
Tilamol,15.12391,74.186279
Anklesvar,21.6315,73.02303
ANKLESHWAR,21.626425,73.015198
VAPI,20.37331,72.908257
MORBI,22.8242,70.831299
SANAND,22.98245,72.378578
Sarigam,20.2903,72.852699
Yamuna Nagar,30.129047,77.267387
Paonta Sahib,30.445284,77.602058
Kala Amb,30.49773,77.195488
Sunder Nagar,31.533239,76.892273
West Singhbhum,22.42788,85.51675
Saraikela Kharsawan,22.565069,85.881088
Hubli-Dharwad,15.3514,75.147598
Kotttayam,9.5916,76.5222
Thissur,10.5276,76.2144
Wayanad,11.6854,76.132
Aurangabad (MS),19.901054,75.352478
Greater Mumbai,19.076,72.8777
Lote,17.5888833,73.5093474
Navi Mumbai,19.0330488,73.0296625
Byrnihat,26.0515133,91.8696411
Nalco,20.8653,85.1842
Kalinga Nagar,20.9763,86.0051
Paradeep,20.3166,86.6114
Keonjhar,21.6289,85.5817
Konark,19.8921,86.0912
Pondichery,11.9416,79.8083
Naya Nangal,31.3866,76.355
Dera Bassi,30.5887,76.8471
Dera Baba,32.0322,75.0304
Turicorin,8.7642,78.1348
Dehradoon,30.3165,78.0322
Gajroula,28.8382,78.2422
"Noida, Ghaziabad",28.5355,77.391
Renusagar,24.1829,82.7873
Rai Bareilly,26.2145,81.2528
Durgapur (WB),23.5204,87.3119
South Suburban,8.0779,77.5512
DANKUNI,22.6809,88.297
HALDIA,22.0627,88.0833
MALDAH,25.1786,88.2461
SILIGURI,26.7271,88.3953
ULUBERIA,22.4764,88.0898
