"","city","so2","no2","spm","year","lat","lng","radius","avg","pop","date"
"43","Vijayawada","5.17914752084832","6.15339103910113","279.95583806",2016,16.50745,80.6466,116.5840132,97.0961255399832,1048240,2016-01-01
"44","Vijayawada","5.1458809317809","4.61276256314608","286.977349905714",2017,16.50745,80.6466,116.5840132,98.9119978002137,1048240,2017-01-01
"45","Vijayawada","5.11261434271348","3.07213408719102","293.998861751429",2018,16.50745,80.6466,116.5840132,100.727870060445,1048240,2018-01-01
"46","Vijayawada","5.07934775364607","1.53150561123596","301.020373597143",2019,16.50745,80.6466,116.5840132,102.543742320675,1048240,2019-01-01
"47","Vijayawada","5.04608116457865","0","308.041885442857",2020,16.50745,80.6466,116.5840132,104.362655535812,1048240,2020-01-01
"48","Vijayawada","5.01281457551124","0","315.063397288572",2021,16.50745,80.6466,116.5840132,106.692070621361,1048240,2021-01-01
"49","Vijayawada","4.97954798644382","0","322.084909134286",2022,16.50745,80.6466,116.5840132,109.02148570691,1048240,2022-01-01
"50","Vijayawada","4.9462813973764","0","329.10642098",2023,16.50745,80.6466,116.5840132,111.350900792459,1048240,2023-01-01
"51","Vijayawada","4.91301480830899","0","336.127932825714",2024,16.50745,80.6466,116.5840132,113.680315878008,1048240,2024-01-01
"52","Vijayawada","4.87974821924157","0","343.149444671429",2025,16.50745,80.6466,116.5840132,116.009730963557,1048240,2025-01-01
"53","Patancheru","0","25.9620750793939","433.53452162",2016,17.53334,78.2645,116.5840132,153.165532233131,150000,2016-01-01
"54","Patancheru","0","26.2730368269697","451.61793375",2017,17.53334,78.2645,116.5840132,159.296990192323,150000,2017-01-01
"55","Patancheru","0","26.5839985745454","469.70134588",2018,17.53334,78.2645,116.5840132,165.428448151515,150000,2018-01-01
"56","Patancheru","0","26.8949603221212","487.78475801",2019,17.53334,78.2645,116.5840132,171.559906110707,150000,2019-01-01
"57","Patancheru","0","27.2059220696969","505.86817014",2020,17.53334,78.2645,116.5840132,177.691364069899,150000,2020-01-01
"58","Patancheru","0","27.5168838172727","523.95158227",2021,17.53334,78.2645,116.5840132,183.822822029091,150000,2021-01-01
"59","Patancheru","0","27.8278455648485","542.0349944",2022,17.53334,78.2645,116.5840132,189.954279988283,150000,2022-01-01
"60","Patancheru","0","28.1388073124242","560.11840653",2023,17.53334,78.2645,116.5840132,196.085737947475,150000,2023-01-01
"61","Patancheru","0","28.44976906","578.20181866",2024,17.53334,78.2645,116.5840132,202.217195906667,150000,2024-01-01
"62","Patancheru","0","28.7607308075757","596.28523079",2025,17.53334,78.2645,116.5840132,208.348653865859,150000,2025-01-01
"63","Ramagundam","0","10.4068199556522","58.0945680730766",2016,18.7651,79.43544,116.5840132,22.8337960095763,229632,2016-01-01
"64","Ramagundam","0","9.76275250173913","41.5012842538458",2017,18.7651,79.43544,116.5840132,17.0880122518616,229632,2017-01-01
"65","Ramagundam","0","9.11868504782608","24.908000434615",2018,18.7651,79.43544,116.5840132,11.342228494147,229632,2018-01-01
"66","Ramagundam","0","8.47461759391304","8.31471661538421",2019,18.7651,79.43544,116.5840132,5.59644473643242,229632,2019-01-01
"67","Ramagundam","0","7.83055014","0",2020,18.7651,79.43544,116.5840132,2.61018338,229632,2020-01-01
"68","Ramagundam","0","7.18648268608695","0",2021,18.7651,79.43544,116.5840132,2.39549422869565,229632,2021-01-01
"69","Ramagundam","0","6.54241523217391","0",2022,18.7651,79.43544,116.5840132,2.1808050773913,229632,2022-01-01
"70","Ramagundam","0","5.89834777826086","0",2023,18.7651,79.43544,116.5840132,1.96611592608695,229632,2023-01-01
"71","Ramagundam","0","5.25428032434782","0",2024,18.7651,79.43544,116.5840132,1.75142677478261,229632,2024-01-01
"72","Ramagundam","0","4.61021287043478","0",2025,18.7651,79.43544,116.5840132,1.53673762347826,229632,2025-01-01
"73","Kurnool","4.22826807438356","11.4196813073256","184.2022472",2016,15.828865,78.036021,116.5840132,66.616732193903,424920,2016-01-01
"74","Kurnool","4.24856473081164","11.6826012037209","184.2022472",2017,15.828865,78.036021,116.5840132,66.7111377115108,424920,2017-01-01
"75","Kurnool","4.26886138723973","11.9455211001163","184.2022472",2018,15.828865,78.036021,116.5840132,66.8055432291187,424920,2018-01-01
"76","Kurnool","4.28915804366781","12.2084409965116","184.2022472",2019,15.828865,78.036021,116.5840132,66.8999487467265,424920,2019-01-01
"77","Kurnool","4.30945470009589","12.471360892907","184.2022472",2020,15.828865,78.036021,116.5840132,66.9943542643343,424920,2020-01-01
"78","Kurnool","4.32975135652397","12.7342807893023","184.2022472",2021,15.828865,78.036021,116.5840132,67.0887597819421,424920,2021-01-01
"79","Kurnool","4.35004801295206","12.9972006856977","184.2022472",2022,15.828865,78.036021,116.5840132,67.1831652995499,424920,2022-01-01
