city,so2,no2,spm,year,lat,lng,radius,avg,date,pop
Vijayawada,5.582631579,31.38052632,207.8631579,2006,16.50745,80.6466,116.5840132,81.60877193,1/1/2006,1048240
Vijayawada,NA,NA,210.8148148,2007,16.50745,80.6466,116.5840132,210.8148148,1/1/2007,1048240
Vijayawada,NA,NA,NA,2008,16.50745,80.6466,116.5840132,NA,1/1/2008,1048240
Vijayawada,4.6421875,13.7765625,197.3854167,2009,16.50745,80.6466,116.5840132,71.93472223,1/1/2009,1048240
Vijayawada,5.836283186,13.64159292,NA,2010,16.50745,80.6466,116.5840132,9.738938053,1/1/2010,1048240
Vijayawada,6.182608696,12.09565217,NA,2012,16.50745,80.6466,116.5840132,9.139130433,1/1/2012,1048240
Vijayawada,NA,NA,NA,2013,16.50745,80.6466,116.5840132,NA,1/1/2013,1048240
Vijayawada,4.937106918,24.04716981,NA,2014,16.50745,80.6466,116.5840132,14.49213836,1/1/2014,1048240
Vijayawada,NA,NA,NA,2015,16.50745,80.6466,116.5840132,NA,1/1/2015,1048240
Patancheru,12.76,14.48363636,113.0909091,2006,17.53334,78.2645,116.5840132,46.77818182,1/1/2006,150000
Patancheru,16.73,28.74333333,338.9,2007,17.53334,78.2645,116.5840132,128.1244444,1/1/2007,150000
Patancheru,10.73809524,23.72380952,245.9619048,2008,17.53334,78.2645,116.5840132,93.47460319,1/1/2008,150000
Patancheru,16.68089888,25.84494382,204.3483146,2009,17.53334,78.2645,116.5840132,82.29138577,1/1/2009,150000
Patancheru,11.44897959,22.90816327,NA,2010,17.53334,78.2645,116.5840132,17.17857143,1/1/2010,150000
Patancheru,6.252336449,22.26168224,NA,2011,17.53334,78.2645,116.5840132,14.25700934,1/1/2011,150000
Patancheru,6.373831776,22.35514019,NA,2012,17.53334,78.2645,116.5840132,14.36448598,1/1/2012,150000
Patancheru,5.934579439,23.8317757,NA,2013,17.53334,78.2645,116.5840132,14.88317757,1/1/2013,150000
Patancheru,5.112149533,23.94392523,NA,2014,17.53334,78.2645,116.5840132,14.52803738,1/1/2014,150000
Patancheru,5.527777778,25.09259259,NA,2015,17.53334,78.2645,116.5840132,15.31018518,1/1/2015,150000
Ramagundam,54.70909091,21.25454545,239.5454545,2006,18.7651,79.43544,116.5840132,105.169697,1/1/2006,229632
Ramagundam,NA,NA,NA,2007,18.7651,79.43544,116.5840132,NA,1/1/2007,229632
Ramagundam,NA,NA,263.8910891,2008,18.7651,79.43544,116.5840132,263.8910891,1/1/2008,229632
Ramagundam,4.094736842,14.64868421,274.7763158,2009,18.7651,79.43544,116.5840132,97.83991228,1/1/2009,229632
Ramagundam,NA,NA,NA,2010,18.7651,79.43544,116.5840132,NA,1/1/2010,229632
Ramagundam,5.619444444,NA,151.0833333,2011,18.7651,79.43544,116.5840132,78.35138887,1/1/2011,229632
Ramagundam,NA,11.21686747,NA,2012,18.7651,79.43544,116.5840132,11.21686747,1/1/2012,229632
Ramagundam,10.48148148,15.13580247,NA,2013,18.7651,79.43544,116.5840132,12.80864198,1/1/2013,229632
Ramagundam,5.75,13.9125,NA,2014,18.7651,79.43544,116.5840132,9.83125,1/1/2014,229632
Ramagundam,6.666666667,15.25555556,NA,2015,18.7651,79.43544,116.5840132,10.96111111,1/1/2015,229632
Kurnool,4.06036036,NA,NA,2007,15.828865,78.036021,116.5840132,4.06036036,1/1/2007,424920
Kurnool,4,NA,NA,2008,15.828865,78.036021,116.5840132,4,1/1/2008,424920
Kurnool,4,9,184.2022472,2009,15.828865,78.036021,116.5840132,65.7340824,1/1/2009,424920
Kurnool,4,9,NA,2010,15.828865,78.036021,116.5840132,6.5,1/1/2010,424920
Kurnool,4,9,NA,2012,15.828865,78.036021,116.5840132,6.5,1/1/2012,424920
Kurnool,4.088235294,10.16666667,NA,2013,15.828865,78.036021,116.5840132,7.127450982,1/1/2013,424920
Kurnool,4.231481481,10.2037037,NA,2014,15.828865,78.036021,116.5840132,7.217592591,1/1/2014,424920
Kurnool,NA,NA,NA,2015,15.828865,78.036021,116.5840132,NA,1/1/2015,424920
Guntur,4,9,217.825,2009,16.29974,80.45729,116.5840132,76.94166667,1/1/2009,651382
Guntur,2,11.29411765,NA,2010,16.29974,80.45729,116.5840132,6.647058825,1/1/2010,651382
Guntur,3.836231884,9.963768116,187.9710145,2011,16.29974,80.45729,116.5840132,67.25700483,1/1/2011,651382
Guntur,5.457142857,11.55238095,NA,2012,16.29974,80.45729,116.5840132,8.504761904,1/1/2012,651382
Guntur,NA,NA,NA,2013,16.29974,80.45729,116.5840132,NA,1/1/2013,651382
Guntur,4.85046729,22.59813084,NA,2014,16.29974,80.45729,116.5840132,13.72429907,1/1/2014,651382
Guntur,4.961165049,25.57281553,NA,2015,16.29974,80.45729,116.5840132,15.26699029,1/1/2015,651382
Nalgonda,4.997058824,23.79117647,214.6470588,2009,17.05439,79.26707,116.5840132,81.14509803,1/1/2009,135163
Nalgonda,4.731481481,23.40740741,NA,2010,17.05439,79.26707,116.5840132,14.06944445,1/1/2010,135163
Nalgonda,4.18,18.29,NA,2011,17.05439,79.26707,116.5840132,11.235,1/1/2011,135163
Nalgonda,4.046728972,15.46728972,NA,2012,17.05439,79.26707,116.5840132,9.757009346,1/1/2012,135163
Nalgonda,4.179012346,15.72222222,NA,2013,17.05439,79.26707,116.5840132,9.950617283,1/1/2013,135163
Nalgonda,4.777777778,17.18518519,NA,2014,17.05439,79.26707,116.5840132,10.98148148,1/1/2014,135163
Nalgonda,6.734883721,24.66976744,NA,2015,17.05439,79.26707,116.5840132,15.70232558,1/1/2015,135163
Nellore,6.1,13.8,193,2009,14.449918,79.986967,116.5840132,70.96666667,1/1/2009,505258
Nellore,2,11.67021277,NA,2010,14.449918,79.986967,116.5840132,6.835106385,1/1/2010,505258
Nellore,5.539215686,11.29411765,NA,2012,14.449918,79.986967,116.5840132,8.416666668,1/1/2012,505258
Nellore,NA,NA,NA,2013,14.449918,79.986967,116.5840132,NA,1/1/2013,505258
Nellore,4.961165049,27.52427184,NA,2015,14.449918,79.986967,116.5840132,16.24271844,1/1/2015,505258
